,DebtToIncomeRatio,count
360,5.65,1
361,0.19729000000000002,1
362,0.02376,1
363,0.12025999999999999,1
364,0.03235,1
365,0.03136,1
366,0.01459,1
367,0.0647,1
368,0.19605,1
369,0.19134,1
370,0.0392,1
371,0.17652,1
372,0.3108,1
373,0.07442,1
374,0.0446,1
375,0.15086,1
376,0.06341000000000001,1
377,0.20360999999999999,1
378,2.67,1
379,0.10361,1
380,0.19035,1
381,5.34,1
382,0.1685,1
383,0.24934,1
384,0.13759000000000002,1
385,0.12558,1
386,3.45,1
387,0.23174,1
388,0.19822,1
389,0.14354,1
390,0.1553,1
391,0.09202,1
392,2.86,1
393,0.19292,1
394,0.13466,1
395,0.10890999999999999,1
396,0.1204,1
397,0.08107,1
398,0.10368,1
399,0.19430999999999998,1
400,0.03095,1
401,0.1616,1
402,0.07243,1
403,0.23317,1
404,0.01051,1
405,0.02792,1
406,8.13,1
407,6.68,1
408,0.014819999999999998,1
409,2.43,1
410,1.9,1
411,0.0705,1
412,0.17593,1
413,0.16808,1
414,0.05276,1
415,0.19336,1
416,0.16691,1
417,0.17482999999999999,1
418,0.12675,1
419,0.24634,1
420,0.24058000000000002,1
421,0.08234,1
422,0.08682999999999999,1
423,2.59,1
424,0.11352000000000001,1
425,0.04369,1
426,0.06188,1
427,0.28563,1
428,4.19,1
429,0.07487,1
430,0.16695,1
431,0.07191,1
432,0.13397,1
433,0.09761,1
434,0.14752,1
435,0.1455,1
436,2.28,1
437,0.14334000000000002,1
438,0.09896,1
439,1.44,1
440,2.66,1
441,0.25404,1
442,0.03732,1
443,0.02253,1
444,0.18417999999999998,1
445,0.051770000000000004,1
446,0.07471,1
447,0.13141,1
448,5.05,1
449,0.04614,1
450,0.14001,1
451,0.0292,1
452,0.02197,1
453,0.1339,1
454,3.17,1
455,0.12074000000000001,1
456,0.29334,1
457,0.09042,1
458,0.02402,1
459,0.09523999999999999,1
460,0.08632000000000001,1
461,0.054810000000000005,1
462,0.11077000000000001,1
463,0.055189999999999996,1
464,0.19842,1
465,7.99,1
466,0.15077000000000002,1
467,0.0247,1
468,0.14995,1
469,0.11805,1
470,0.30815,1
471,2.7,1
472,0.14723,1
473,0.017830000000000002,1
474,0.13133,1
475,2.74,1
476,0.11174,1
477,0.04021,1
478,0.14865,1
479,0.08252000000000001,1
480,6.2,1
481,0.36006,1
482,0.19877,1
483,0.0757,1
484,0.3838,1
485,0.12897,1
486,0.07003,1
487,0.1614,1
488,3.29,1
489,0.11938,1
490,0.18744,1
491,0.261,1
492,0.31708000000000003,1
493,3.76,1
494,0.19757,1
495,0.35972,1
496,0.26252,1
497,0.06957,1
498,0.05111,1
499,5.76,1
500,0.5150399999999999,1
501,0.02769,1
502,0.10772999999999999,1
503,0.18449000000000002,1
504,0.14807,1
505,0.17263,1
506,0.07768,1
507,0.0732,1
508,0.1648,1
509,9.77,1
510,0.04042,1
511,0.013030000000000002,1
512,0.05002,1
513,0.19802999999999998,1
514,2.16,1
515,0.499,1
516,0.08466,1
517,0.15561,1
518,0.19097999999999998,1
519,0.18766,1
520,2.2732900000000003,1
521,0.09115,1
522,0.05359,1
523,0.05625,1
524,0.06392,1
525,0.23119,1
526,0.08865,1
527,0.1794,1
528,0.18498,1
529,0.00611,1
530,0.28367,1
531,0.08369,1
532,8.63,1
533,0.07485,1
534,0.20090999999999998,1
535,0.11928,1
536,0.02349,1
537,0.11455,1
538,0.50136,1
539,0.17856,1
540,0.11358,1
541,0.05214,1
542,0.25759,1
543,0.14744000000000002,1
544,0.15062,1
545,0.29728000000000004,1
546,9.2,1
547,6.07,1
548,6.51,1
549,4.33,1
550,5.29,1
551,4.32,1
552,0.23175,1
553,0.01955,1
554,0.31916,1
555,0.029339999999999998,1
556,5.98,1
557,0.1002,1
558,0.11139,1
559,0.41586000000000006,1
560,4.89,1
561,5.31,1
562,5.5608,1
563,0.14522000000000002,1
564,0.20319,1
565,0.10962000000000001,1
566,0.12367,1
567,0.43886000000000003,1
568,0.14279,1
569,4.42,1
570,0.18035,1
571,0.01825,1
572,0.064,1
573,5.18,1
574,0.11264,1
575,1.95,1
576,0.18945,1
577,0.039639999999999995,1
578,0.14543,1
579,0.0241,1
580,0.05822000000000001,1
581,0.02607,1
582,4.84,1
583,0.12067,1
584,0.46403,1
585,0.054770000000000006,1
586,2.09,1
587,0.07497000000000001,1
588,0.08086,1
589,3.19,1
590,0.19634000000000001,1
591,0.01719,1
592,0.08785,1
593,0.1924,1
594,0.15447,1
595,0.13849,1
596,0.07046000000000001,1
597,0.12697,1
598,0.02713,1
599,0.01234,1
600,4.16,1
601,0.03573,1
602,0.19085,1
603,0.09873,1
604,0.03184,1
605,0.03146,1
606,0.1086,1
607,0.028030000000000003,1
